# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 70.54905 88.001185 0.0
# Box Maximum: 141.0981 176.00237 65.28425
# <6607>
# ID	Position (x y z)	Area	type
400	70.89636 159.41016 39.13835	rh.medialorbitofrontal	ex
401	73.90929 150.91892 46.50897	rh.medialorbitofrontal	ex
402	121.64219 122.21456 26.47226	rh.superiortemporal	ex
403	111.29221 119.76192 17.58966	rh.superiortemporal	ex
404	70.65345 150.76889 55.04778	lh.superiorfrontal	ex
405	70.94503 152.91313 58.72406	lh.superiorfrontal	ex
406	70.92991 152.50378 57.76915	lh.superiorfrontal	ex
407	70.93268 154.35614 56.3677	lh.superiorfrontal	ex
408	70.72445 165.19873 42.70937	rh.frontalpole	ex
409	73.93195 151.61879 54.8729	rh.medialorbitofrontal	ex
410	70.84689 147.26854 57.23468	rh.rostralanteriorcingulate	ex
411	71.70829 147.95025 55.96898	rh.rostralanteriorcingulate	ex
412	70.85073 148.94668 58.58409	rh.rostralanteriorcingulate	ex
413	75.72747 153.13217 55.78896	rh.superiorfrontal	ex
414	77.72867 167.39361 34.11833	rh.frontalpole	ex
415	86.61833 169.97101 37.422	rh.frontalpole	ex
416	72.08927 157.82675 39.25626	rh.medialorbitofrontal	ex
417	70.58744 154.1443 54.94426	lh.superiorfrontal	ex
418	82.96508 170.07481 39.07543	rh.frontalpole	ex
419	80.97819 174.11022 48.1416	rh.frontalpole	ex
420	76.5283 152.48262 55.21142	rh.medialorbitofrontal	ex
421	71.45959 165.84411 44.31614	rh.medialorbitofrontal	ex
422	73.19285 163.44447 33.30394	rh.lateralorbitofrontal	ex
423	76.95784 150.71332 56.22418	rh.superiorfrontal	ex
424	86.5683 170.75023 40.68127	rh.frontalpole	ex
425	76.4568 157.31367 48.0543	rh.medialorbitofrontal	ex
