# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 0.0 88.001185 0.0
# Box Maximum: 70.54905 176.00237 65.28425
# <6683>
# ID	Position (x y z)	Area	type
346	39.08629 92.91982 18.01719	lh.entorhinal	ex
347	53.12779 92.51338 19.30291	lh.entorhinal	ex
348	49.28469 91.58511 16.41993	lh.entorhinal	ex
349	51.17966 93.5708 17.14886	lh.entorhinal	ex
350	38.75707 94.76797 17.91669	lh.entorhinal	ex
351	49.97992 93.15635 16.22023	lh.entorhinal	ex
352	41.62562 93.23184 15.95012	lh.entorhinal	ex
353	48.25759 93.51168 13.95427	lh.entorhinal	ex
354	52.00068 94.75168 17.20666	lh.entorhinal	ex
355	53.71812 97.08589 18.80094	lh.entorhinal	ex
356	43.07475 92.83894 14.74328	lh.entorhinal	ex
357	36.92178 90.13347 20.31764	lh.entorhinal	ex
358	37.72677 88.2873 20.2217	lh.fusiform	ex
359	37.53257 91.28034 19.34083	lh.fusiform	ex
360	39.15391 91.2336 18.13497	lh.fusiform	ex
361	41.52322 90.34174 16.74686	lh.fusiform	ex
362	61.81548 93.56725 35.21488	lh.medialorbitofrontal	ex
363	59.3219 94.29912 36.84825	lh.medialorbitofrontal	ex
364	62.45278 93.10555 33.81668	lh.entorhinal	ex
365	56.0008 95.09551 26.24197	lh.entorhinal	ex
366	54.7556 95.87223 28.14941	lh.entorhinal	ex
367	52.26613 96.33879 28.68125	lh.entorhinal	ex
368	56.10703 94.76074 24.15149	lh.entorhinal	ex
369	55.65969 96.0041 25.07227	lh.entorhinal	ex
370	55.0794 95.54319 21.08742	lh.entorhinal	ex
371	49.58627 94.05969 14.89577	lh.entorhinal	ex
372	50.33814 95.79365 14.51105	lh.entorhinal	ex
373	40.90812 94.95497 15.80633	lh.entorhinal	ex
374	43.25586 94.4919 13.8494	lh.entorhinal	ex
375	42.02871 91.96656 15.49316	lh.entorhinal	ex
376	42.83171 91.53725 14.33954	lh.fusiform	ex
377	41.03504 93.34991 15.83073	lh.fusiform	ex
378	54.49633 97.12053 27.48909	lh.entorhinal	ex
379	53.32623 97.62875 27.92952	lh.entorhinal	ex
380	55.08838 97.06277 25.61549	lh.entorhinal	ex
381	52.9266 98.93954 27.12015	lh.entorhinal	ex
382	51.06929 96.58883 28.64843	lh.medialorbitofrontal	ex
383	46.40499 97.2631 27.42368	lh.entorhinal	ex
384	47.58257 98.70675 27.071	lh.entorhinal	ex
385	47.30265 95.98699 28.10761	lh.medialorbitofrontal	ex
386	45.37231 97.21619 27.51419	lh.medialorbitofrontal	ex
387	48.99024 98.23769 27.73185	lh.entorhinal	ex
388	47.7862 99.73462 26.16561	lh.entorhinal	ex
389	54.69413 98.21974 24.79224	lh.entorhinal	ex
390	50.53713 98.39336 27.91783	lh.entorhinal	ex
391	51.3354 99.45434 27.14241	lh.entorhinal	ex
392	48.66584 96.5081 28.31734	lh.medialorbitofrontal	ex
393	54.75758 97.57652 21.62819	lh.entorhinal	ex
394	42.15357 95.45039 14.33335	lh.entorhinal	ex
395	40.04144 96.32778 17.07211	lh.entorhinal	ex
396	48.4317 95.9231 12.80331	lh.entorhinal	ex
397	37.48438 89.15051 9.08611	lh.fusiform	ex
398	37.3938 90.32684 7.3304	lh.inferiortemporal	ex
399	45.8606 95.20614 12.57065	lh.entorhinal	ex
400	53.70245 99.58832 25.85759	lh.entorhinal	ex
401	49.17938 100.69864 25.19861	lh.entorhinal	ex
402	46.87557 100.0777 26.66086	lh.entorhinal	ex
403	50.6764 100.59302 25.58703	lh.entorhinal	ex
404	37.45372 93.89718 18.98765	lh.entorhinal	ex
405	39.2447 96.39896 18.08666	lh.entorhinal	ex
406	37.53407 93.63438 18.9648	lh.entorhinal	ex
407	54.17346 98.41813 20.22129	lh.entorhinal	ex
408	52.59076 98.76002 17.43053	lh.entorhinal	ex
409	49.93273 98.42107 14.15278	lh.entorhinal	ex
410	39.2294 92.56404 6.62028	lh.fusiform	ex
411	34.55695 89.42744 6.71558	lh.inferiortemporal	ex
412	33.4424 89.91044 5.5514	lh.inferiortemporal	ex
413	47.23406 96.56317 12.32256	lh.entorhinal	ex
414	44.54064 95.41732 12.83659	lh.entorhinal	ex
415	42.33282 97.14199 13.19371	lh.entorhinal	ex
416	43.92493 97.30083 12.22206	lh.entorhinal	ex
417	38.68081 94.48438 17.74615	lh.entorhinal	ex
418	38.05925 95.26872 29.0626	lh.entorhinal	ex
