# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 0.0 0.0 0.0
# Box Maximum: 70.54905 88.001185 65.28425
# <5802>
# ID	Position (x y z)	Area	type
404	20.65571 69.17358 31.3637	lh.inferiortemporal	ex
405	10.39116 74.01716 32.42797	lh.inferiortemporal	ex
406	4.65689 74.89015 27.72362	lh.inferiortemporal	ex
407	15.77524 73.72261 26.92422	lh.inferiortemporal	ex
408	12.82848 77.40337 17.02175	lh.inferiortemporal	ex
409	11.49064 79.17958 15.04077	lh.inferiortemporal	ex
410	2.86529 73.92155 41.39599	lh.middletemporal	ex
411	11.77885 75.29655 32.69629	lh.middletemporal	ex
412	16.00603 79.01785 43.95504	lh.middletemporal	ex
413	10.79443 77.25027 50.29679	lh.middletemporal	ex
414	7.87477 77.95443 49.42837	lh.superiortemporal	ex
415	9.8805 81.39846 44.28432	lh.middletemporal	ex
416	13.98824 86.23992 60.08487	lh.superiortemporal	ex
417	66.53917 78.49398 58.68648	lh.isthmuscingulate	ex
418	67.35885 79.80265 58.70784	lh.isthmuscingulate	ex
419	67.53389 80.83781 60.16988	lh.isthmuscingulate	ex
420	68.28996 83.47432 61.49126	lh.posteriorcingulate	ex
421	68.79795 87.47321 61.90035	lh.posteriorcingulate	ex
422	65.94696 77.99472 59.75829	lh.isthmuscingulate	ex
423	68.71367 84.91789 61.4721	lh.posteriorcingulate	ex
424	26.50421 66.97647 24.10771	lh.fusiform	ex
425	20.65187 75.85897 22.31713	lh.inferiortemporal	ex
426	18.24251 76.00867 19.68354	lh.inferiortemporal	ex
427	42.58186 81.06046 21.15449	lh.parahippocampal	ex
428	18.59789 78.69314 17.04929	lh.inferiortemporal	ex
429	68.01535 83.15296 63.23351	lh.posteriorcingulate	ex
430	68.97963 85.35566 59.94258	lh.posteriorcingulate	ex
431	68.98174 86.88489 60.29396	lh.posteriorcingulate	ex
432	68.91026 87.58823 59.05577	lh.posteriorcingulate	ex
433	70.23025 87.32146 60.64379	rh.posteriorcingulate	ex
434	34.15966 83.14598 64.01102	lh.insula	ex
435	35.68614 71.11139 23.21723	lh.fusiform	ex
436	32.36937 76.01407 23.91938	lh.fusiform	ex
437	45.65138 77.50285 23.89763	lh.parahippocampal	ex
438	65.95335 79.83498 48.27576	lh.parahippocampal	ex
439	65.07473 79.6747 47.05467	lh.parahippocampal	ex
440	44.96717 85.81803 18.76216	lh.entorhinal	ex
441	46.64345 85.48237 19.187	lh.entorhinal	ex
442	30.84154 75.01264 24.75136	lh.fusiform	ex
443	30.5756 77.43531 25.63998	lh.fusiform	ex
444	27.98493 79.0568 24.01736	lh.fusiform	ex
445	29.55764 79.3084 22.98428	lh.fusiform	ex
446	29.7996 79.89574 21.76025	lh.fusiform	ex
447	30.8198 81.18196 19.78936	lh.fusiform	ex
448	38.21086 84.74154 14.68117	lh.fusiform	ex
449	23.64265 79.30611 21.52221	lh.inferiortemporal	ex
450	21.20694 79.26795 19.50433	lh.inferiortemporal	ex
451	23.51893 80.56606 20.85737	lh.inferiortemporal	ex
452	22.37479 80.66924 19.91438	lh.inferiortemporal	ex
453	16.53149 84.27563 30.66709	lh.inferiortemporal	ex
454	22.60536 81.81108 18.90392	lh.inferiortemporal	ex
455	21.53844 81.65228 17.45141	lh.inferiortemporal	ex
456	16.83331 84.34251 30.71667	lh.inferiortemporal	ex
457	29.22058 81.06488 20.8092	lh.inferiortemporal	ex
458	28.18676 81.88002 21.01955	lh.inferiortemporal	ex
459	27.85427 83.52962 20.17536	lh.inferiortemporal	ex
460	24.47833 83.4443 17.11105	lh.inferiortemporal	ex
461	26.45119 84.407 18.28254	lh.inferiortemporal	ex
462	25.8807 84.19164 16.88861	lh.inferiortemporal	ex
